1/1/2016 to 6/1/2017
Expense Category, Trans Date, Post Date, Merchant Name, Amount
"Miscellaneous","01/03/16","01/03/16","COMCAST OF NAPLES","130.01",
"Miscellaneous","01/03/16","01/03/16","COMCAST OF NAPLES","126.85",
"Miscellaneous","01/06/16","01/07/16","HOMEAWAY US","40.00",
"Miscellaneous","01/11/16","01/11/16","COMCAST OF NAPLES","114.06",
"Miscellaneous","01/11/16","01/11/16","COMCAST OF NAPLES","90.75",
"Miscellaneous","01/11/16","01/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","01/11/16","01/11/16","COMCAST OF NAPLES","58.20",
"Miscellaneous","01/12/16","01/13/16","WALMART.COM 8009666546","233.19",
"Miscellaneous","01/18/16","01/18/16","COMCAST OF NAPLES","45.59",
"Miscellaneous","01/18/16","01/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","01/18/16","01/18/16","COMCAST OF NAPLES","123.82",
"Miscellaneous","01/23/16","01/24/16","COMCAST OF NAPLES","410.31",
"Miscellaneous","02/03/16","02/03/16","COMCAST OF NAPLES","133.79",
"Miscellaneous","02/03/16","02/03/16","COMCAST OF NAPLES","138.06",
"Miscellaneous","02/11/16","02/11/16","COMCAST OF NAPLES","58.20",
"Miscellaneous","02/11/16","02/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","02/11/16","02/11/16","COMCAST OF NAPLES","120.85",
"Miscellaneous","02/11/16","02/11/16","COMCAST OF NAPLES","90.75",
"Miscellaneous","02/18/16","02/18/16","COMCAST OF NAPLES","123.82",
"Miscellaneous","02/18/16","02/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","02/18/16","02/18/16","COMCAST OF NAPLES","297.90",
"Miscellaneous","02/18/16","02/18/16","COMCAST OF NAPLES","45.59",
"Miscellaneous","02/26/16","02/26/16","COMCAST OF NAPLES","94.06",
"Miscellaneous","03/03/16","03/03/16","COMCAST OF NAPLES","138.06",
"Miscellaneous","03/03/16","03/03/16","COMCAST OF NAPLES","133.79",
"Miscellaneous","03/11/16","03/11/16","COMCAST OF NAPLES","94.07",
"Miscellaneous","03/11/16","03/11/16","COMCAST OF NAPLES","123.06",
"Miscellaneous","03/11/16","03/11/16","COMCAST OF NAPLES","58.20",
"Miscellaneous","03/11/16","03/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","03/11/16","03/11/16","COMCAST OF NAPLES","202.37",
"Miscellaneous","03/12/16","03/13/16","COMCAST OF NAPLES","431.77",
"Miscellaneous","03/14/16","03/14/16","Audible US","2.99",
"Miscellaneous","03/18/16","03/18/16","COMCAST OF NAPLES","123.82",
"Miscellaneous","03/18/16","03/18/16","COMCAST OF NAPLES","45.59",
"Miscellaneous","03/18/16","03/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","03/26/16","03/27/16","COMCAST OF NAPLES","121.53",
"Miscellaneous","03/26/16","03/27/16","COMCAST OF NAPLES","160.92",
"Miscellaneous","03/28/16","03/28/16","Audible","14.95",
"Miscellaneous","04/03/16","04/03/16","COMCAST OF NAPLES","133.79",
"Miscellaneous","04/03/16","04/03/16","COMCAST OF NAPLES","138.06",
"Miscellaneous","04/02/16","04/04/16","MYVR.COM","9.00",
"Miscellaneous","04/11/16","04/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","04/11/16","04/11/16","COMCAST OF NAPLES","90.75",
"Miscellaneous","04/11/16","04/11/16","COMCAST OF NAPLES","114.19",
"Miscellaneous","04/11/16","04/11/16","COMCAST OF NAPLES","75.66",
"Miscellaneous","04/11/16","04/11/16","COMCAST OF NAPLES","149.37",
"Miscellaneous","04/18/16","04/18/16","COMCAST OF NAPLES","45.59",
"Miscellaneous","04/18/16","04/18/16","COMCAST OF NAPLES","123.82",
"Miscellaneous","04/18/16","04/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","04/20/16","04/21/16","AmazonPrime Membership","100.86",
"Miscellaneous","04/26/16","04/26/16","COMCAST OF NAPLES","107.06",
"Miscellaneous","04/26/16","04/26/16","COMCAST OF NAPLES","139.06",
"Miscellaneous","04/28/16","04/28/16","Audible","14.95",
"Miscellaneous","04/28/16","04/29/16","SUNBIZ.ORG / FL. FILIN","143.75",
"Miscellaneous","05/03/16","05/03/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","05/02/16","05/03/16","MYVR.COM","9.00",
"Miscellaneous","05/03/16","05/04/16","PROFLOWERS.COM","122.92",
"Miscellaneous","05/06/16","05/08/16","MYVR.COM","9.00",
"Miscellaneous","05/11/16","05/11/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","05/11/16","05/11/16","COMCAST OF NAPLES","86.44",
"Miscellaneous","05/11/16","05/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","05/12/16","05/12/16","COMCAST OF NAPLES","90.75",
"Miscellaneous","05/12/16","05/13/16","WEB*NETWORKSOLUTIONS","39.89",
"Miscellaneous","05/13/16","05/15/16","WEB*NETWORKSOLUTIONS","-6.99",
"Miscellaneous","05/18/16","05/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","05/19/16","05/20/16","J2 *METROFAX","79.50",
"Miscellaneous","05/26/16","05/26/16","COMCAST OF NAPLES","107.06",
"Miscellaneous","05/28/16","05/29/16","Audible","14.95",
"Miscellaneous","06/02/16","06/03/16","MYVR.COM","9.00",
"Miscellaneous","06/03/16","06/03/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","06/06/16","06/07/16","MYVR.COM","9.00",
"Miscellaneous","06/09/16","06/10/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","06/11/16","06/12/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","06/11/16","06/12/16","COMCAST OF NAPLES","132.00",
"Miscellaneous","06/11/16","06/12/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","06/11/16","06/12/16","COMCAST OF NAPLES","105.75",
"Miscellaneous","06/13/16","06/14/16","HOMEAWAY US","40.00",
"Miscellaneous","06/18/16","06/19/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","06/26/16","06/26/16","COMCAST OF NAPLES","107.06",
"Miscellaneous","06/28/16","06/28/16","Audible","14.95",
"Miscellaneous","07/03/16","07/03/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","07/07/16","07/08/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","07/08/16","07/10/16","WALMART.COM 8009666546","295.74",
"Miscellaneous","07/12/16","07/12/16","COMCAST OF NAPLES","105.75",
