"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:Check in","attribute_data:Check in","attribute_default:Check in","attribute:Check out","attribute_data:Check out","attribute_default:Check out","attribute:Parking","attribute_data:Parking","attribute_default:Parking","attribute:Smoking policy","attribute_data:Smoking policy","attribute_default:Smoking policy"
"Professional","professional","210","<p class=""p1"">One Time Fee for one listing, highlighted in the search results.</p>","<b>One</b> Listing

<b>Unlimited</b> Availability

<b>Featured</b> In the Results

<b>24/7 </b> Support","publish","7","2015-10-19 12:35:05","1","open","2","no","no","","4.95","","","","","","","visible","instock","no","no","","","","no","","","","","","","","","job_package","","","Most Popular","","","","","","","","","","","","",""
"Basic","basic","213","<p class=""p1"">Standard listing submission, active for 30 days.</p>","<p class=""p1""><b>One</b> Listing</p>
<p class=""p1""><b>30 Days</b> Availability</p>
<p class=""p1""><b>Standard</b> Listing</p>
<p class=""p1""><b>Limited</b> Support</p>","publish","6","2015-10-18 12:46:50","1","open","1","no","no","","0","","","","","","","visible","instock","no","no","","","","no","","","","","","","","","job_package","","","","","","","","","","","","","","","",""
"Business","business","215","Subscription Based for unlimited listings and availability.","<b>Unlimited</b> Listings

<b>Unlimited</b> Availability

<b>Featured</b> In the Results

<b>24/7 Priority</b> Support","publish","8","2015-10-20 12:57:57","1","open","3","no","no","","7.95","","","","","","","visible","instock","no","no","","","","no","","","","","","","","","job_package_subscription","","","","","","","","","","","","","","","",""
"Up to 50% Off at Roberto’s Pizza Restaurant","robertos-restaurant","968","<p class=""p1"">Two medium pizzas baked from housemade dough</p>","50% off food from the a la carte menu based on each person having 2 course meal (a starter and main course per person). Please note there will be a supplement fee of £3 for all seafood dishes Includes Vat, excludes service.","publish","0","2015-11-09 05:51:39","1","open","","no","yes","76","34","17","","","","","","visible","instock","no","yes","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/15_listable_demo.jpg","","simple","","Food &amp; Drink","50% Off","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
"Historic 4-Star Russel Hotel Spa Resort","historic-4-star-park-plaza-spa-resort","972","<p class=""p1"">The best option for a relaxed getaway in London</p>","","publish","1","2015-11-09 14:12:21","1","open","","no","yes","80","700","315","","","","","","visible","instock","no","yes","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/01_listable_demo.jpg","","simple","","","","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
"IMAX Cinema: Two Tickets at Price of One","imax-cinema-two-tickets-at-price-of-one","973","<p class=""p1"">The biggest screen in Britain</p>","","publish","2","2015-11-09 14:14:09","1","open","","no","yes","82","11.6","5.8","","","","","","visible","instock","no","yes","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/04_listable_demo.jpg","","simple","","Cinema","2 in 1","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
"Up to 46% OFF at Greewich London Zoo Park","up-to-46-off-at-greewich-london-zoo-park","974","<p class=""p1"">Visit for a Senior, Adult or Children</p>","","publish","3","2015-11-09 14:16:45","1","open","","no","yes","98","28","15.5","","","","","","visible","instock","no","yes","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/07_listable_demo.jpg","","simple","","Things to Do","","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
"Three Course Meal at Paesan Restaurant 5*","three-course-meal-at-paesan-restaurant-5","975","<p class=""p1"">Best traditional home cooked recipes</p>","","publish","4","2015-11-09 14:18:49","1","open","","no","yes","90","125","32","","","","","","visible","instock","no","yes","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/10_listable_demo.jpg","","simple","","Cinema","75% OFF","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
"Up to 59% Off a Haircut and Highlights Package","up-to-59-off-a-haircut-and-highlights-package","976","<p class=""p1"">Masquerade Salon</p>","","publish","5","2015-11-09 14:21:24","1","open","","no","yes","93","110","45","","","","","","visible","instock","no","yes","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/12_listable_demo.jpg","","simple","","Cinema","75% OFF","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
"Restaurant Reservation at Roberto's","restaurant-reservation-robertos","1834","<p class=""p1"">Two medium pizzas baked from housemade dough</p>","50% off food from the a la carte menu based on each person having 2 course meal (a starter and main course per person). Please note there will be a supplement fee of £3 for all seafood dishes Includes Vat, excludes service.","publish","0","2015-12-04 10:05:56","1","open","","no","yes","","0","","","","","","","search","instock","no","no","","","","no","","","","","","","https://martidolce.com/wp-content/uploads/2015/11/14_listable_demo.jpg","","booking","","Food &amp; Drink","50% Off","","4pm","2|1|0","","11am","3|1|0","","Included in resort service charge","1|1|0","","No smoking inside the property","0|1|0",""
