ID,Property Information copy,Tenant Orders,Images,Property Type,Marketing Type,Status,Availability,Community,Neighborhood,Company,Location,HOA,HOA Application Cost/Person, Annual Rent , Seasonal Jan - Mar , Off Seasonal April - Dec , Standard Seasonal weekly  , Standard Seasonal daily , Off Seasonal weekly , Off Seasonal daily,Guest List
1,"Buccaneer - 563 Plaza Del Sol North Fort Myers, FL 33917",,,Manufactured Home,,,No,,Buccaneer,ELS,North Fort Myers,,,"$1,100.00","$2,500.00","$1,000.00",$577.37,$357.14,$230.95,$142.86,
2,"Buccaneer - 11 Plaza Palace, North Fort Myers, FL 33917 copy",,,Manufactured Home,,Visible,"Yes, Rent or Lease",,Buccaneer,ELS,North Fort Myers,,,"$1,100.00","$2,500.00","$1,000.00",$577.37,$357.14,$230.95,$142.86,
3,"Country Lakes 904 - 5700 Bayshore Drive Bradenton, FL 34221",,,Manufactured Home,,Inactive,No,,Country Lakes,Co-op,Bradenton,,,"$1,100.00","$2,500.00","$1,000.00",$577.37,$357.14,$230.95,$142.86,
4,"Country Lakes Village - 5700 Bayshore Rd #702 Palmetto, FL 34221",,,Manufactured Home,,Inactive,No,,Country Lakes,Co-op,Bradenton,,,"$1,100.00","$2,500.00","$1,000.00",$577.37,$357.14,$230.95,$142.86,
5,"Del Tura-4405 - 4405 San Lucian Ln North Fort Myers, FL 33903",,,Manufactured Home,,,No,,Deltura,Hometown America,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
6,"Del Tura-738 - 738 Via Del Sol North Fort Myers, FL 33903",,,Manufactured Home,,,No,,Deltura,Hometown America,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
7,"Deltura 309 - 309 San Remo Lane North Fort Myers, FL 33903",,,Manufactured Home,,,No,,Deltura,Hometown America,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
8,"Deltura 4414 - 4414 San Lucian Lane North Fort Myers, FL 33903",,,Manufactured Home,,,No,,Deltura,Hometown America,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
9,"Lake Fairways-31L - 19251 Indian Wells North Fort Myers, FL 33903",,,Manufactured Home,,,No,,Lake Fairways,ELS,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
10,"Lake Fairways-9H - 19261 Cedar Crest Ct 9H N. Fort Myers, FL 33903",,,Manufactured Home,,,No,,Lake Fairways,ELS,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
